name	x	y	z	size	material	manufacturer	group	hemisphere	silicon	soz	resected	edge	Destrieux_label	Destrieux_label_text
C01	-45.9783401489258	-83.947265625	6.86870431900024	4.2	Platinum	AdTech	grid	L	no	no	no	no	19	G_occipital_middle
C02	-52.322868347168	-64.8919525146484	5.33091497421265	4.2	Platinum	AdTech	grid	L	no	no	no	no	38	G_temporal_middle
C03	-54.7960205078125	-63.4316902160645	11.2759799957275	4.2	Platinum	AdTech	grid	L	no	no	no	no	38	G_temporal_middle
C04	-50.7050361633301	-53.1137313842773	30.1927280426025	4.2	Platinum	AdTech	grid	L	no	no	no	no	55	S_interm_prim-Jensen
C05	-55.3745346069336	-50.5519371032715	36.1007308959961	4.2	Platinum	AdTech	grid	L	no	no	no	no	26	G_pariet_inf-Supramar
C06	-57.0976066589355	-39.7633247375488	47.914478302002	4.2	Platinum	AdTech	grid	L	no	no	no	no	26	G_pariet_inf-Supramar
C07	-52.2462387084961	-25.4414367675781	49.8258247375488	4.2	Platinum	AdTech	grid	L	no	no	no	no	28	G_postcentral
C08	-56.4258193969727	-19.512149810791	51.9109382629395	4.2	Platinum	AdTech	grid	L	no	no	no	no	28	G_postcentral
C09	-38.8765144348145	-79.3775405883789	11.5109939575195	4.2	Platinum	AdTech	grid	L	no	no	no	no	19	G_occipital_middle
C10	-44.6563758850098	-75.2046279907227	19.138355255127	4.2	Platinum	AdTech	grid	L	no	no	no	no	19	G_occipital_middle
C11	-45.0439987182617	-65.3194732666016	36.3633728027344	4.2	Platinum	AdTech	grid	L	no	no	no	no	25	G_pariet_inf-Angular
C12	-52.0195388793945	-58.317798614502	38.5400619506836	4.2	Platinum	AdTech	grid	L	no	no	no	no	25	G_pariet_inf-Angular
C13	-49.9395980834961	-49.8881607055664	47.6569404602051	4.2	Platinum	AdTech	grid	L	no	no	no	no	26	G_pariet_inf-Supramar
C14	-49.0773277282715	-43.5601119995117	47.2622337341309	4.2	Platinum	AdTech	grid	L	no	no	no	no	26	G_pariet_inf-Supramar
C15	-48.9851760864258	-28.2889804840088	57.8010444641113	4.2	Platinum	AdTech	grid	L	no	no	no	no	28	G_postcentral
C16	-49.2361755371094	-17.0731353759766	57.4586791992188	4.2	Platinum	AdTech	grid	L	no	no	no	no	28	G_postcentral
C17	-37.7644271850586	-85.2486572265625	27.8167629241943	4.2	Platinum	AdTech	grid	L	no	no	no	no	19	G_occipital_middle
C18	-40.1752128601074	-77.8843154907227	34.1941299438477	4.2	Platinum	AdTech	grid	L	no	no	no	no	25	G_pariet_inf-Angular
C19	-42.8200492858887	-65.9922485351562	48.4189071655273	4.2	Platinum	AdTech	grid	L	no	no	no	no	25	G_pariet_inf-Angular
C20	-44.683048248291	-57.5556945800781	42.0855560302734	4.2	Platinum	AdTech	grid	L	no	no	no	no	25	G_pariet_inf-Angular
C21	-39.6383094787598	-48.8450546264648	52.9804878234863	4.2	Platinum	AdTech	grid	L	no	no	no	no	27	G_parietal_sup
C22	-37.4657897949219	-36.484806060791	58.0764350891113	4.2	Platinum	AdTech	grid	L	no	no	no	no	28	G_postcentral
C23	-42.8893013000488	-30.1404266357422	65.7934112548828	4.2	Platinum	AdTech	grid	L	no	no	no	no	28	G_postcentral
C24	-39.9880485534668	-11.6601638793945	65.4902801513672	4.2	Platinum	AdTech	grid	L	no	no	no	no	29	G_precentral
C25	-18.0316371917725	-87.6988677978516	26.8590850830078	4.2	Platinum	AdTech	grid	L	no	no	no	no	20	G_occipital_sup
C26	-17.7537689208984	-72.906135559082	43.3041572570801	4.2	Platinum	AdTech	grid	L	no	no	yes	no	27	G_parietal_sup
C27	-19.0275459289551	-65.2357406616211	47.3414154052734	4.2	Platinum	AdTech	grid	L	no	yes	yes	no	27	G_parietal_sup
C28	-27.9729957580566	-58.4876327514648	56.5162887573242	4.2	Platinum	AdTech	grid	L	no	no	no	no	27	G_parietal_sup
C29	-33.8060913085938	-55.7932014465332	64.3510131835938	4.2	Platinum	AdTech	grid	L	no	no	no	no	27	G_parietal_sup
C30	-25.2639923095703	-32.951301574707	72.3702774047852	4.2	Platinum	AdTech	grid	L	no	no	no	no	28	G_postcentral
C31	-33.4252243041992	-28.7618865966797	67.5799942016602	4.2	Platinum	AdTech	grid	L	no	no	no	no	28	G_postcentral
C32	-30.6836051940918	-16.5152988433838	71.9624252319336	4.2	Platinum	AdTech	grid	L	no	no	no	no	29	G_precentral
CH01	-19.1918964385986	-89.0864105224609	34.4817276000977	4.2	Platinum	AdTech	grid	L	no	no	yes	no	20	G_occipital_sup
CH02	-15.3783359527588	-73.8264465332031	48.9199523925781	4.2	Platinum	AdTech	grid	L	no	yes	yes	no	27	G_parietal_sup
CH03	-20.5089511871338	-67.1178207397461	53.9709281921387	4.2	Platinum	AdTech	grid	L	no	yes	yes	no	27	G_parietal_sup
