name	x	y	z	size	material	manufacturer	group	hemisphere	silicon	soz	resected	edge	Destrieux_label	Destrieux_label_text
TP01	-55.8629837036133	-53.2920951843262	-7.10568857192993	4.2	Platinum	AdTech	grid	L	no	no	no	no	37	G_temporal_inf
TP02	-58.0652542114258	-50.3354721069336	-9.56415462493896	4.2	Platinum	AdTech	grid	L	no	no	no	no	37	G_temporal_inf
TP03	-56.761589050293	-41.5410537719727	-22.921215057373	4.2	Platinum	AdTech	grid	L	no	no	no	no	37	G_temporal_inf
TP04	-57.7139282226562	-37.9128684997559	-26.1710090637207	4.2	Platinum	AdTech	grid	L	no	no	no	no	37	G_temporal_inf
TP05	-53.7594833374023	-30.3083896636963	-32.9766006469727	4.2	Platinum	AdTech	grid	L	no	no	no	no	37	G_temporal_inf
TP06	-56.0763778686523	-18.0375938415527	-31.30983543396	4.2	Platinum	AdTech	grid	L	no	no	no	no	37	G_temporal_inf
TP07	-51.8956718444824	-14.8071641921997	-29.9400329589844	4.2	Platinum	AdTech	grid	L	no	no	yes	no	37	G_temporal_inf
TP08	-58.4699020385742	-3.14498710632324	-31.9424991607666	4.2	Platinum	AdTech	grid	L	no	no	yes	no	38	G_temporal_middle
TP09	-59.1152229309082	-63.1823043823242	6.26036167144775	4.2	Platinum	AdTech	grid	L	no	no	no	no	38	G_temporal_middle
TP10	-63.3567276000977	-46.607349395752	-7.90847158432007	4.2	Platinum	AdTech	grid	L	no	no	no	no	38	G_temporal_middle
TP11	-64.8472900390625	-41.4863815307617	-11.1197471618652	4.2	Platinum	AdTech	grid	L	no	no	no	no	38	G_temporal_middle
TP12	-55.5034294128418	-36.5057258605957	-21.5741291046143	4.2	Platinum	AdTech	grid	L	no	no	no	no	37	G_temporal_inf
TP13	-66.5372467041016	-17.4539203643799	-14.3454208374023	4.2	Platinum	AdTech	grid	L	no	no	no	no	38	G_temporal_middle
TP14	-54.8893928527832	-18.9216213226318	-27.9493980407715	4.2	Platinum	AdTech	grid	L	no	no	no	no	37	G_temporal_inf
TP15	-56.4203720092773	-13.3606691360474	-27.030481338501	4.2	Platinum	AdTech	grid	L	no	no	yes	no	38	G_temporal_middle
TP16	-57.525951385498	2.65156173706055	-30.6456508636475	4.2	Platinum	AdTech	grid	L	no	no	yes	no	38	G_temporal_middle
TP17	-57.4783554077148	-62.2323608398438	9.28482818603516	4.2	Platinum	AdTech	grid	L	no	no	no	no	38	G_temporal_middle
TP18	-55.580249786377	-55.2338562011719	6.62736368179321	4.2	Platinum	AdTech	grid	L	no	no	no	no	38	G_temporal_middle
TP19	-68.1275253295898	-30.6769161224365	2.71273469924927	4.2	Platinum	AdTech	grid	L	no	no	no	no	34	G_temp_sup-Lateral
TP20	-67.0060043334961	-22.3514499664307	-1.68791615962982	4.2	Platinum	AdTech	grid	L	no	no	no	no	34	G_temp_sup-Lateral
TP21	-65.6463012695312	-14.7451219558716	1.58210861682892	4.2	Platinum	AdTech	grid	L	no	no	no	no	34	G_temp_sup-Lateral
TP22	-62.4812622070312	-9.63828468322754	-3.3650004863739	4.2	Platinum	AdTech	grid	L	no	no	no	no	34	G_temp_sup-Lateral
TP23	-59.1104965209961	4.05924892425537	-12.6593456268311	4.2	Platinum	AdTech	grid	L	no	no	no	no	34	G_temp_sup-Lateral
TP24	-56.3562202453613	8.22760581970215	-16.7736778259277	4.2	Platinum	AdTech	grid	L	no	no	no	no	34	G_temp_sup-Lateral
TP25	-61.99951171875	-53.6237907409668	16.9296684265137	4.2	Platinum	AdTech	grid	L	no	no	no	no	26	G_pariet_inf-Supramar
TP26	-66.8632354736328	-42.0322952270508	12.4334392547607	4.2	Platinum	AdTech	grid	L	no	no	no	no	34	G_temp_sup-Lateral
TP27	-67.9298858642578	-35.0303268432617	10.7716693878174	4.2	Platinum	AdTech	grid	L	no	no	no	no	34	G_temp_sup-Lateral
TP28	-66.2830657958984	-22.2864875793457	4.85053396224976	4.2	Platinum	AdTech	grid	L	no	no	no	no	36	G_temp_sup-Plan_tempo
TP29	-65.8256683349609	-9.7594108581543	13.1832065582275	4.2	Platinum	AdTech	grid	L	no	no	no	no	4	G&S_subcentral
TP30	-62.2571029663086	-2.72473788261414	-3.11523199081421	4.2	Platinum	AdTech	grid	L	no	no	no	no	34	G_temp_sup-Lateral
TP31	-60.695629119873	2.19907140731812	-6.30469799041748	4.2	Platinum	AdTech	grid	L	no	no	no	no	34	G_temp_sup-Lateral
TP32	-54.6863899230957	10.8439035415649	-13.5071439743042	4.2	Platinum	AdTech	grid	L	no	no	no	no	34	G_temp_sup-Lateral
TP33	-62.4877815246582	-52.4954109191895	21.1251621246338	4.2	Platinum	AdTech	grid	L	no	no	no	no	26	G_pariet_inf-Supramar
TP34	-65.1898956298828	-31.4560966491699	32.9133987426758	4.2	Platinum	AdTech	grid	L	no	no	no	no	26	G_pariet_inf-Supramar
TP35	-57.0916633605957	-23.2023124694824	30.5136413574219	4.2	Platinum	AdTech	grid	L	no	no	no	no	26	G_pariet_inf-Supramar
TP36	-58.9189071655273	-22.3630180358887	28.0143642425537	4.2	Platinum	AdTech	grid	L	no	no	no	no	26	G_pariet_inf-Supramar
TP37	-65.6224594116211	-8.62630271911621	21.3747711181641	4.2	Platinum	AdTech	grid	L	no	no	no	no	4	G&S_subcentral
TP38	-62.1209106445312	0.689756572246552	20.5572948455811	4.2	Platinum	AdTech	grid	L	no	no	no	no	29	G_precentral
TP39	-56.2335510253906	7.73938894271851	0.844614863395691	4.2	Platinum	AdTech	grid	L	no	no	no	no	12	G_front_inf-Opercular
TP40	-54.8497200012207	15.7875137329102	8.30957317352295	4.2	Platinum	AdTech	grid	L	no	no	no	no	12	G_front_inf-Opercular
TP41	-59.1153984069824	-51.3268737792969	33.7797012329102	4.2	Platinum	AdTech	grid	L	no	no	no	no	26	G_pariet_inf-Supramar
TP42	-61.960620880127	-33.4641723632812	39.7735176086426	4.2	Platinum	AdTech	grid	L	no	no	no	no	26	G_pariet_inf-Supramar
TP43	-56.3394393920898	-20.2745876312256	34.1368598937988	4.2	Platinum	AdTech	grid	L	no	no	no	no	28	G_postcentral
TP44	-58.7628288269043	-17.8969497680664	32.1143226623535	4.2	Platinum	AdTech	grid	L	no	no	no	no	28	G_postcentral
TP45	-61.0773811340332	2.50145244598389	31.7661075592041	4.2	Platinum	AdTech	grid	L	no	no	no	no	29	G_precentral
TP46	-59.4916000366211	8.5458345413208	19.5369625091553	4.2	Platinum	AdTech	grid	L	no	no	no	no	29	G_precentral
TP47	-54.360668182373	6.52114963531494	8.94010734558105	4.2	Platinum	AdTech	grid	L	no	no	no	no	12	G_front_inf-Opercular
TP48	-56.9989395141602	22.5454921722412	13.4782657623291	4.2	Platinum	AdTech	grid	L	no	no	no	no	14	G_front_inf-Triangul
OB49	-37.7878684997559	-88.9210205078125	-17.4336814880371	4.2	Platinum	AdTech	grid	L	no	no	no	no	2	G&S_occipital_inf
OB50	-45.2989387512207	-81.5357894897461	-8.91803455352783	4.2	Platinum	AdTech	grid	L	no	no	no	no	2	G&S_occipital_inf
OB51	-55.790699005127	-56.7978096008301	-7.93931198120117	4.2	Platinum	AdTech	grid	L	no	no	no	no	37	G_temporal_inf
OB52	-56.1825790405273	-52.3668098449707	-7.92581558227539	4.2	Platinum	AdTech	grid	L	yes	no	no	no	38	G_temporal_middle
OB53	-64.0772323608398	-45.242057800293	-9.05957508087158	4.2	Platinum	AdTech	grid	L	yes	no	no	no	38	G_temporal_middle
OB54	-65.2251739501953	-40.0259628295898	-11.8911561965942	4.2	Platinum	AdTech	grid	L	yes	no	no	no	38	G_temporal_middle
OB55	-67.4872817993164	-24.0936889648438	-1.23710465431213	4.2	Platinum	AdTech	grid	L	yes	no	no	no	34	G_temp_sup-Lateral
OB56	-66.7936935424805	-18.418773651123	-0.415739446878433	4.2	Platinum	AdTech	grid	L	yes	no	no	no	34	G_temp_sup-Lateral
OB57	-34.1178283691406	-93.1906204223633	-8.64652919769287	4.2	Platinum	AdTech	grid	L	no	no	no	no	19	G_occipital_middle
OB58	-44.7856140136719	-85.0377426147461	-2.04996633529663	4.2	Platinum	AdTech	grid	L	no	no	no	no	19	G_occipital_middle
OB59	-43.8566856384277	-78.9025726318359	-3.36250758171082	4.2	Platinum	AdTech	grid	L	no	no	no	no	19	G_occipital_middle
OB60	-57.6205635070801	-64.1557388305664	5.73601102828979	4.2	Platinum	AdTech	grid	L	yes	no	no	no	38	G_temporal_middle
OB61	-57.3321952819824	-57.0562629699707	7.3123083114624	4.2	Platinum	AdTech	grid	L	yes	no	no	no	38	G_temporal_middle
OB62	-67.4131851196289	-34.3534088134766	4.4683837890625	4.2	Platinum	AdTech	grid	L	yes	no	no	no	34	G_temp_sup-Lateral
OB63	-68.2128448486328	-27.9472198486328	6.60463094711304	4.2	Platinum	AdTech	grid	L	yes	no	no	no	34	G_temp_sup-Lateral
OB64	-66.2736740112305	-13.0703296661377	13.9068050384521	4.2	Platinum	AdTech	grid	L	yes	no	no	no	4	G&S_subcentral
MKR1+	NaN	NaN	NaN	NaN	n/a	n/a	other	n/a	no	no	no	no	NaN	n/a
TOB1	-32.6490478515625	-2.29032564163208	-46.3953628540039	4.2	Platinum	AdTech	grid	L	no	no	yes	no	43	Pole_temporal
TOB2	-36.5079498291016	-8.48432731628418	-43.0772438049316	4.2	Platinum	AdTech	grid	L	no	no	yes	no	43	Pole_temporal
TOB3	-41.7452774047852	-12.4988737106323	-41.2840805053711	4.2	Platinum	AdTech	grid	L	no	no	yes	no	37	G_temporal_inf
TOB4	-51.7770462036133	-16.4318199157715	-40.0020904541016	4.2	Platinum	AdTech	grid	L	no	no	yes	no	37	G_temporal_inf
TOB5	-15.7112331390381	-12.2724142074585	-27.9745292663574	4.2	Platinum	AdTech	grid	L	no	no	yes	no	23	G_oc-temp_med-Parahip
TOB6	-33.6493377685547	-10.9468746185303	-38.6180572509766	4.2	Platinum	AdTech	grid	L	no	no	yes	no	50	S_collat_transv_ant
TOB7	-42.9346237182617	-20.2822914123535	-29.3595771789551	4.2	Platinum	AdTech	grid	L	no	no	yes	no	37	G_temporal_inf
TOB8	-48.860221862793	-27.0811367034912	-32.8205261230469	4.2	Platinum	AdTech	grid	L	no	no	yes	no	37	G_temporal_inf
sT1	-19.188850402832	-5.5462007522583	-29.8766975402832	4.2	Platinum	AdTech	strip	L	no	no	yes	no	0	Unknown
sT2	-31.1024322509766	-1.27784037590027	-45.556510925293	4.2	Platinum	AdTech	strip	L	no	no	yes	no	43	Pole_temporal
sT3	-33.7104415893555	1.87651407718658	-45.3309516906738	4.2	Platinum	AdTech	strip	L	no	no	yes	no	43	Pole_temporal
sT4	-40.5110626220703	-6.6766471862793	-46.5948104858398	4.2	Platinum	AdTech	strip	L	no	no	yes	no	43	Pole_temporal
sT5	-43.9614143371582	0.877683818340302	-36.9067001342773	4.2	Platinum	AdTech	strip	L	no	no	yes	no	43	Pole_temporal
