name	x	y	z	size	material	manufacturer	group	hemisphere	silicon	soz	resected	edge	Destrieux_label	Destrieux_label_text
T01	-48.135570526123	-80.6591339111328	3.47669458389282	4.2	Platinum	AdTech	grid	L	no	no	no	no	19	G_occipital_middle
T02	-53.7376594543457	-63.7613639831543	4.14684963226318	4.2	Platinum	AdTech	grid	L	no	no	no	no	38	G_temporal_middle
T03	-60.2468643188477	-61.9745254516602	3.00298833847046	4.2	Platinum	AdTech	grid	L	no	no	no	no	38	G_temporal_middle
T04	-56.7868576049805	-51.3588981628418	-8.39818096160889	4.2	Platinum	AdTech	grid	L	no	no	no	no	37	G_temporal_inf
T05	-60.5014877319336	-45.430793762207	-17.5991115570068	4.2	Platinum	AdTech	grid	L	no	no	no	no	37	G_temporal_inf
T06	-55.1874694824219	-38.3558235168457	-19.5089149475098	4.2	Platinum	AdTech	grid	L	no	no	no	no	72	S_temporal_inf
T07	-54.8764877319336	-31.7951240539551	-19.587574005127	4.2	Platinum	AdTech	grid	L	no	no	no	no	37	G_temporal_inf
T08	-55.3123474121094	-18.1037864685059	-29.8461494445801	4.2	Platinum	AdTech	grid	L	no	no	no	no	37	G_temporal_inf
T09	-45.3355255126953	-64.3332595825195	12.2164602279663	4.2	Platinum	AdTech	grid	L	no	no	no	no	73	S_temporal_sup
T10	-56.1580924987793	-64.9964447021484	9.09199523925781	4.2	Platinum	AdTech	grid	L	no	no	no	no	38	G_temporal_middle
T11	-62.1641731262207	-56.4453926086426	6.21724891662598	4.2	Platinum	AdTech	grid	L	no	no	no	no	38	G_temporal_middle
T12	-66.0970840454102	-47.2578544616699	-0.676972925662994	4.2	Platinum	AdTech	grid	L	no	no	no	no	38	G_temporal_middle
T13	-64.1818389892578	-43.7640800476074	-10.3924541473389	4.2	Platinum	AdTech	grid	L	no	no	no	no	38	G_temporal_middle
T14	-64.7720794677734	-34.5386810302734	-18.9781227111816	4.2	Platinum	AdTech	grid	L	no	no	no	no	38	G_temporal_middle
T15	-64.6318740844727	-26.7267055511475	-19.6873016357422	4.2	Platinum	AdTech	grid	L	no	no	no	no	38	G_temporal_middle
T16	-66.4524383544922	-16.6573600769043	-15.332727432251	4.2	Platinum	AdTech	grid	L	no	no	no	no	38	G_temporal_middle
T17	-41.5506629943848	-61.6511344909668	17.3844337463379	4.2	Platinum	AdTech	grid	L	no	no	no	no	73	S_temporal_sup
T18	-60.3458862304688	-54.8484268188477	16.5379428863525	4.2	Platinum	AdTech	grid	L	no	no	no	no	25	G_pariet_inf-Angular
T19	-64.6585006713867	-45.0668487548828	17.5463943481445	4.2	Platinum	AdTech	grid	L	no	no	no	no	36	G_temp_sup-Plan_tempo
T20	-67.6071853637695	-37.8307723999023	11.4451179504395	4.2	Platinum	AdTech	grid	L	no	no	no	no	34	G_temp_sup-Lateral
T21	-65.8597030639648	-33.4906234741211	1.84625029563904	4.2	Platinum	AdTech	grid	L	no	no	no	no	34	G_temp_sup-Lateral
T22	-65.4496078491211	-24.3722381591797	-3.30151700973511	4.2	Platinum	AdTech	grid	L	no	no	no	no	34	G_temp_sup-Lateral
T23	-65.3815460205078	-16.2941150665283	-2.36026239395142	4.2	Platinum	AdTech	grid	L	no	no	no	no	34	G_temp_sup-Lateral
T24	-61.3269653320312	-11.8327732086182	-5.68250894546509	4.2	Platinum	AdTech	grid	L	no	no	no	no	34	G_temp_sup-Lateral
