name	x	y	z	size	material	manufacturer	group	hemisphere	silicon	soz	resected	edge	Destrieux_label	Destrieux_label_text
C01	-12.5276136398315	-60.0655746459961	61.5197639465332	4.2	Platinum	AdTech	grid	L	no	no	no	no	27	G_parietal_sup
C02	-15.2770509719849	-54.6207504272461	66.2831344604492	4.2	Platinum	AdTech	grid	L	no	no	no	no	27	G_parietal_sup
C03	-19.1013927459717	-48.2383422851562	72.5430450439453	4.2	Platinum	AdTech	grid	L	no	no	no	no	27	G_parietal_sup
C04	-17.3490009307861	-42.6754417419434	76.5860824584961	4.2	Platinum	AdTech	grid	L	no	no	no	no	3	G&S_paracentral
C05	-8.99147129058838	-35.4678001403809	76.2518920898438	4.2	Platinum	AdTech	grid	L	no	no	no	no	3	G&S_paracentral
C06	-24.6454048156738	-16.9874076843262	72.1521759033203	4.2	Platinum	AdTech	grid	L	no	no	no	no	29	G_precentral
C07	-21.116548538208	-15.6355037689209	65.3996124267578	4.2	Platinum	AdTech	grid	L	no	no	no	no	29	G_precentral
C08	-20.2990608215332	-2.60394811630249	70.2847213745117	4.2	Platinum	AdTech	grid	L	no	no	no	no	16	G_front_sup
C09	-11.960412979126	-71.4042892456055	55.3329277038574	4.2	Platinum	AdTech	grid	L	no	no	no	no	27	G_parietal_sup
C10	-19.2944526672363	-64.6034088134766	64.2201232910156	4.2	Platinum	AdTech	grid	L	no	no	no	no	27	G_parietal_sup
C11	-20.1988430023193	-39.4868545532227	66.5866394042969	4.2	Platinum	AdTech	grid	L	no	no	no	no	28	G_postcentral
C12	-22.9016971588135	-34.5160713195801	72.259880065918	4.2	Platinum	AdTech	grid	L	no	no	no	no	28	G_postcentral
C13	-23.2449283599854	-29.8393459320068	67.8988876342773	4.2	Platinum	AdTech	grid	L	no	no	no	no	28	G_postcentral
C14	-32.5675354003906	-17.7900199890137	71.6665954589844	4.2	Platinum	AdTech	grid	L	no	no	no	no	29	G_precentral
C15	-37.3303108215332	-14.5043382644653	68.0302276611328	4.2	Platinum	AdTech	grid	L	no	no	no	no	29	G_precentral
C16	-42.8755416870117	-10.6711521148682	63.246265411377	4.2	Platinum	AdTech	grid	L	no	no	no	no	29	G_precentral
C17	-18.3966999053955	-71.3925323486328	41.6441802978516	4.2	Platinum	AdTech	grid	L	no	no	no	no	27	G_parietal_sup
C18	-22.1853523254395	-64.9204788208008	60.9906005859375	4.2	Platinum	AdTech	grid	L	no	no	no	no	27	G_parietal_sup
