name	x	y	z	size	material	manufacturer	group	hemisphere	silicon	soz	resected	edge	Destrieux_label	Destrieux_label_text
T01	-45.5160827636719	30.7219295501709	-17.2524394989014	4.2	Platinum	AdTech	grid	L	no	no	no	no	24	G_orbital
T02	-53.3019714355469	11.0163011550903	-12.4825897216797	4.2	Platinum	AdTech	grid	L	no	no	no	no	34	G_temp_sup-Lateral
T03	-59.2513732910156	5.41294193267822	-9.9052562713623	4.2	Platinum	AdTech	grid	L	no	no	no	no	34	G_temp_sup-Lateral
T04	-63.3393669128418	-12.1492471694946	3.13595795631409	4.2	Platinum	AdTech	grid	L	no	yes	no	no	34	G_temp_sup-Lateral
T05	-66.6729736328125	-17.5524501800537	0.175658136606216	4.2	Platinum	AdTech	grid	L	no	no	no	no	34	G_temp_sup-Lateral
T06	-68.7057037353516	-26.0680351257324	1.83034384250641	4.2	Platinum	AdTech	grid	L	no	no	no	no	34	G_temp_sup-Lateral
T07	-64.1569290161133	-26.3362846374512	24.8916625976562	4.2	Platinum	AdTech	grid	L	no	no	no	no	26	G_pariet_inf-Supramar
T08	-60.9278450012207	-37.1277046203613	35.4237022399902	4.2	Platinum	AdTech	grid	L	no	no	no	no	26	G_pariet_inf-Supramar
T09	-51.5213203430176	14.2120761871338	-22.3848304748535	4.2	Platinum	AdTech	grid	L	no	no	no	no	34	G_temp_sup-Lateral
T10	-54.4202079772949	10.1059131622314	-19.749002456665	4.2	Platinum	AdTech	grid	L	no	no	no	no	34	G_temp_sup-Lateral
T11	-56.8149299621582	3.46887731552124	-18.1759815216064	4.2	Platinum	AdTech	grid	L	no	yes	no	no	34	G_temp_sup-Lateral
T12	-64.2952041625977	-14.4046020507812	-3.18605804443359	4.2	Platinum	AdTech	grid	L	no	yes	no	no	34	G_temp_sup-Lateral
T13	-65.6629638671875	-19.3153343200684	-2.78184485435486	4.2	Platinum	AdTech	grid	L	no	yes	no	no	34	G_temp_sup-Lateral
T14	-63.2781257629395	-32.9338874816895	-0.0605714805424213	4.2	Platinum	AdTech	grid	L	no	yes	no	no	34	G_temp_sup-Lateral
T15	-68.2132415771484	-34.0380439758301	6.92859554290771	4.2	Platinum	AdTech	grid	L	no	yes	no	no	34	G_temp_sup-Lateral
T16	-61.5915946960449	-45.4760055541992	33.9178352355957	4.2	Platinum	AdTech	grid	L	no	yes	no	no	26	G_pariet_inf-Supramar
T17	-48.3190002441406	7.21800899505615	-37.5643997192383	4.2	Platinum	AdTech	grid	L	no	yes	no	no	43	Pole_temporal
T18	-55.0502319335938	-4.68218231201172	-33.5346794128418	4.2	Platinum	AdTech	grid	L	no	yes	no	no	38	G_temporal_middle
T19	-61.562385559082	-5.35352754592896	-27.6269626617432	4.2	Platinum	AdTech	grid	L	no	yes	no	no	38	G_temporal_middle
T20	-54.3735885620117	-13.7452754974365	-11.9458131790161	4.2	Platinum	AdTech	grid	L	no	yes	no	no	73	S_temporal_sup
T21	-67.2740325927734	-23.2494773864746	-17.6000671386719	4.2	Platinum	AdTech	grid	L	no	yes	yes	no	38	G_temporal_middle
T22	-68.4877777099609	-25.3855800628662	-13.2914657592773	4.2	Platinum	AdTech	grid	L	no	yes	yes	no	38	G_temporal_middle
T23	-57.6643295288086	-47.4632873535156	2.5527286529541	4.2	Platinum	AdTech	grid	L	no	yes	yes	no	38	G_temporal_middle
T24	-66.1608123779297	-42.9599990844727	14.3804016113281	4.2	Platinum	AdTech	grid	L	no	yes	yes	no	36	G_temp_sup-Plan_tempo
T25	-43.9990043640137	0.238861486315727	-37.192699432373	4.2	Platinum	AdTech	grid	L	no	no	no	no	43	Pole_temporal
T26	-51.4786376953125	-3.8965163230896	-35.1212997436523	4.2	Platinum	AdTech	grid	L	no	no	no	no	38	G_temporal_middle
T27	-56.2377395629883	-18.8606338500977	-30.8812294006348	4.2	Platinum	AdTech	grid	L	no	no	no	no	37	G_temporal_inf
T28	-56.8239974975586	-22.8862266540527	-25.6107063293457	4.2	Platinum	AdTech	grid	L	no	no	no	no	38	G_temporal_middle
T29	-62.4019660949707	-28.390417098999	-19.6721687316895	4.2	Platinum	AdTech	grid	L	no	no	no	yes	72	S_temporal_inf
T30	-66.6532745361328	-35.2853317260742	-16.239709854126	4.2	Platinum	AdTech	grid	L	no	no	yes	no	38	G_temporal_middle
T31	-63.3825607299805	-51.6983261108398	4.57629108428955	4.2	Platinum	AdTech	grid	L	no	yes	yes	no	38	G_temporal_middle
T32	-57.4565849304199	-52.4093933105469	5.22641801834106	4.2	Platinum	AdTech	grid	L	no	yes	yes	no	38	G_temporal_middle
OT33	-11.0607919692993	-99.4640884399414	13.7900056838989	4.2	Platinum	AdTech	grid	L	no	no	no	no	20	G_occipital_sup
OT34	-15.9435329437256	-100.596633911133	15.9780426025391	4.2	Platinum	AdTech	grid	L	no	no	no	no	42	Pole_occipital
OT35	-28.4506492614746	-95.3262481689453	9.2465705871582	4.2	Platinum	AdTech	grid	L	no	no	no	no	19	G_occipital_middle
OT36	-33.6387634277344	-90.7600250244141	8.58711433410645	4.2	Platinum	AdTech	grid	L	no	no	no	no	19	G_occipital_middle
OT37	-37.7863540649414	-88.1007766723633	10.7323999404907	4.2	Platinum	AdTech	grid	L	no	yes	no	no	19	G_occipital_middle
OT38	-50.9577522277832	-77.4262619018555	8.71926689147949	4.2	Platinum	AdTech	grid	L	no	yes	no	no	19	G_occipital_middle
OT39	-45.8973770141602	-68.6434783935547	10.156418800354	4.2	Platinum	AdTech	grid	L	no	yes	yes	no	19	G_occipital_middle
OT40	-61.0902824401855	-60.8785629272461	0.509575068950653	4.2	Platinum	AdTech	grid	L	no	yes	yes	no	38	G_temporal_middle
OT41	-10.9145221710205	-95.966796875	17.1675472259521	4.2	Platinum	AdTech	grid	L	no	no	no	no	20	G_occipital_sup
OT42	-12.3652267456055	-96.4388580322266	22.0351123809814	4.2	Platinum	AdTech	grid	L	no	no	no	no	20	G_occipital_sup
OT43	-19.2989864349365	-91.9799346923828	16.9260540008545	4.2	Platinum	AdTech	grid	L	no	no	no	no	58	S_oc_sup&transversal
OT44	-24.7361450195312	-89.2461853027344	14.7022266387939	4.2	Platinum	AdTech	grid	L	no	no	no	no	58	S_oc_sup&transversal
OT45	-36.9111862182617	-88.8168487548828	17.1491355895996	4.2	Platinum	AdTech	grid	L	no	yes	no	no	19	G_occipital_middle
OT46	-42.302173614502	-75.323486328125	23.8511714935303	4.2	Platinum	AdTech	grid	L	no	yes	no	no	19	G_occipital_middle
OT47	-42.5463714599609	-66.0355834960938	13.316520690918	4.2	Platinum	AdTech	grid	L	no	yes	yes	no	73	S_temporal_sup
OT48	-64.0544662475586	-50.932243347168	15.4873447418213	4.2	Platinum	AdTech	grid	L	no	yes	yes	no	26	G_pariet_inf-Supramar
OT49	-5.09395122528076	-89.8282318115234	31.2064151763916	4.2	Platinum	AdTech	grid	L	no	no	no	no	11	G_cuneus
OT50	-11.6055011749268	-88.1870193481445	35.1106224060059	4.2	Platinum	AdTech	grid	L	no	no	no	no	20	G_occipital_sup
OT51	-20.1271476745605	-88.8783950805664	32.4870452880859	4.2	Platinum	AdTech	grid	L	no	no	no	no	20	G_occipital_sup
OT52	-30.0193023681641	-78.6846618652344	39.6510467529297	4.2	Platinum	AdTech	grid	L	no	no	no	no	25	G_pariet_inf-Angular
OT53	-36.578254699707	-83.0824737548828	31.5621643066406	4.2	Platinum	AdTech	grid	L	no	no	no	no	25	G_pariet_inf-Angular
OT54	-48.395320892334	-73.5352249145508	27.6455230712891	4.2	Platinum	AdTech	grid	L	no	no	no	no	25	G_pariet_inf-Angular
OT55	-48.5135231018066	-68.6577758789062	24.8935775756836	4.2	Platinum	AdTech	grid	L	no	yes	yes	no	25	G_pariet_inf-Angular
OT56	-63.1640090942383	-51.7663688659668	20.1286754608154	4.2	Platinum	AdTech	grid	L	no	yes	yes	no	26	G_pariet_inf-Supramar
OT57	-11.5719356536865	-78.8418350219727	46.0164413452148	4.2	Platinum	AdTech	grid	L	no	no	no	no	27	G_parietal_sup
OT58	-16.3492889404297	-79.491081237793	45.3878059387207	4.2	Platinum	AdTech	grid	L	no	no	no	no	27	G_parietal_sup
OT59	-18.7425651550293	-85.3656005859375	40.3930854797363	4.2	Platinum	AdTech	grid	L	no	no	no	no	20	G_occipital_sup
OT60	-29.7830467224121	-68.7658462524414	44.6774978637695	4.2	Platinum	AdTech	grid	L	no	no	no	no	25	G_pariet_inf-Angular
OT61	-39.0954132080078	-72.5094985961914	47.1705741882324	4.2	Platinum	AdTech	grid	L	no	no	no	no	25	G_pariet_inf-Angular
OT62	-42.7962379455566	-68.4888153076172	32.527271270752	4.2	Platinum	AdTech	grid	L	no	no	no	no	25	G_pariet_inf-Angular
OT63	-51.7322692871094	-53.9763069152832	27.4172554016113	4.2	Platinum	AdTech	grid	L	no	yes	no	no	25	G_pariet_inf-Angular
OT64	-56.6172714233398	-53.515754699707	30.1162071228027	4.2	Platinum	AdTech	grid	L	no	yes	no	no	26	G_pariet_inf-Supramar
MKR1+	n/a	n/a	n/a	n/a	n/a	n/a	other	n/a	no	no	no	no	n/a	n/a
P01	-5.87416744232178	-66.2676544189453	58.1921806335449	4.2	Platinum	AdTech	grid	L	no	no	no	no	30	G_precuneus
P02	-16.5510921478271	-69.6516494750977	56.7549324035645	4.2	Platinum	AdTech	grid	L	no	no	no	no	27	G_parietal_sup
P03	-20.5791683197021	-66.9982376098633	57.0037651062012	4.2	Platinum	AdTech	grid	L	no	no	no	no	27	G_parietal_sup
P04	-25.256103515625	-62.3875007629395	51.1149063110352	4.2	Platinum	AdTech	grid	L	no	no	no	no	27	G_parietal_sup
P05	-48.6528968811035	-65.4266815185547	43.279296875	4.2	Platinum	AdTech	grid	L	no	no	no	no	25	G_pariet_inf-Angular
P06	-52.4603691101074	-59.836555480957	38.6181755065918	4.2	Platinum	AdTech	grid	L	no	no	no	no	25	G_pariet_inf-Angular
P07	-50.0243148803711	-54.9721565246582	33.704948425293	4.2	Platinum	AdTech	grid	L	no	yes	no	no	25	G_pariet_inf-Angular
P08	-58.7183723449707	-43.958610534668	40.8390998840332	4.2	Platinum	AdTech	grid	L	no	yes	no	no	26	G_pariet_inf-Supramar
P09	-7.55045938491821	-55.963737487793	66.1431121826172	4.2	Platinum	AdTech	grid	L	no	no	no	no	30	G_precuneus
P10	-17.8478050231934	-63.7756881713867	64.7845840454102	4.2	Platinum	AdTech	grid	L	no	no	no	no	27	G_parietal_sup
P11	-26.7851066589355	-59.8582763671875	65.3639678955078	4.2	Platinum	AdTech	grid	L	no	no	no	no	27	G_parietal_sup
P12	-34.7049789428711	-53.0082397460938	65.1324844360352	4.2	Platinum	AdTech	grid	L	no	no	no	no	27	G_parietal_sup
P13	-40.0818099975586	-50.2391738891602	57.3338394165039	4.2	Platinum	AdTech	grid	L	no	no	no	no	27	G_parietal_sup
P14	-45.2400131225586	-42.5678405761719	43.2430953979492	4.2	Platinum	AdTech	grid	L	no	no	no	no	26	G_pariet_inf-Supramar
P15	-49.6836624145508	-40.5007286071777	47.5194320678711	4.2	Platinum	AdTech	grid	L	no	no	no	no	26	G_pariet_inf-Supramar
P16	-58.7630996704102	-37.1197319030762	45.7426567077637	4.2	Platinum	AdTech	grid	L	no	yes	no	no	26	G_pariet_inf-Supramar
vT1	-24.6198081970215	-28.7256622314453	-12.5298442840576	4.2	Platinum	AdTech	strip	L	no	no	no	no	23	G_oc-temp_med-Parahip
vT2	-21.8457698822021	-17.7077369689941	-21.5383701324463	4.2	Platinum	AdTech	strip	L	no	no	no	no	23	G_oc-temp_med-Parahip
vT3	-16.836706161499	-8.00339126586914	-27.0152931213379	4.2	Platinum	AdTech	strip	L	no	no	no	no	23	G_oc-temp_med-Parahip
vT4	-30.7787475585938	-4.82795715332031	-44.1001625061035	4.2	Platinum	AdTech	strip	L	no	no	no	no	43	Pole_temporal
vT5	-32.3141708374023	3.6343834400177	-44.5286636352539	4.2	Platinum	AdTech	strip	L	no	no	no	no	43	Pole_temporal
vT6	-35.7945251464844	2.17105722427368	-44.1499557495117	4.2	Platinum	AdTech	strip	L	no	no	no	no	43	Pole_temporal
vT7	-47.0479507446289	5.31534671783447	-37.9295806884766	4.2	Platinum	AdTech	strip	L	yes	no	no	no	43	Pole_temporal
vT8	-54.856803894043	-0.484879583120346	-34.940788269043	4.2	Platinum	AdTech	strip	L	yes	no	no	no	38	G_temporal_middle
AH+	n/a	n/a	n/a	n/a	n/a	n/a	other	n/a	no	no	no	no	n/a	n/a
ECG+	n/a	n/a	n/a	n/a	n/a	n/a	other	n/a	no	no	no	no	n/a	n/a
orb+	n/a	n/a	n/a	n/a	n/a	n/a	other	n/a	no	no	no	no	n/a	n/a
emg1+	n/a	n/a	n/a	n/a	n/a	n/a	other	n/a	no	no	no	no	n/a	n/a
emg2+	n/a	n/a	n/a	n/a	n/a	n/a	other	n/a	no	no	no	no	n/a	n/a
pB30+	n/a	n/a	n/a	n/a	n/a	n/a	other	n/a	no	no	no	no	n/a	n/a
pB31+	n/a	n/a	n/a	n/a	n/a	n/a	other	n/a	no	no	no	no	n/a	n/a
pB32+	n/a	n/a	n/a	n/a	n/a	n/a	other	n/a	no	no	no	no	n/a	n/a
sTv1	-20.7403945922852	-24.1316680908203	-18.368968963623	4.2	Platinum	AdTech	strip	L	no	no	no	no	23	G_oc-temp_med-Parahip
sTv2	-21.877046585083	-26.0059242248535	-28.1216773986816	4.2	Platinum	AdTech	strip	L	no	no	no	no	23	G_oc-temp_med-Parahip
sTv3	-37.6295013427734	-27.5411262512207	-27.4156684875488	4.2	Platinum	AdTech	strip	L	no	no	no	no	21	G_oc-temp_lat-fusifor
sTv4	-51.2484970092773	-38.6184043884277	-30.6402950286865	4.2	Platinum	AdTech	strip	L	no	yes	no	no	37	G_temporal_inf
sTv5	-58.2645034790039	-30.2234745025635	-28.6211242675781	4.2	Platinum	AdTech	strip	L	no	no	no	no	37	G_temporal_inf
sTv6	-61.1769599914551	-30.825403213501	-19.380298614502	4.2	Platinum	AdTech	strip	L	yes	no	no	no	72	S_temporal_inf
sTv7	-67.5990524291992	-23.9271030426025	-17.276123046875	4.2	Platinum	AdTech	strip	L	yes	no	no	no	38	G_temporal_middle
sTv8	-63.626823425293	-20.5528984069824	-3.89097476005554	4.2	Platinum	AdTech	strip	L	yes	no	no	no	34	G_temp_sup-Lateral
sTm1	-44.2375907897949	-40.1698112487793	-26.0356693267822	4.2	Platinum	AdTech	grid	L	no	yes	no	no	21	G_oc-temp_lat-fusifor
sTm2	-50.2641525268555	-42.001350402832	-29.0932769775391	4.2	Platinum	AdTech	grid	L	no	no	yes	yes	37	G_temporal_inf
sTm3	-58.0705490112305	-39.6956100463867	-18.403694152832	4.2	Platinum	AdTech	grid	L	no	no	yes	no	38	G_temporal_middle
sTm4	-63.0217666625977	-34.3356094360352	-19.5251274108887	4.2	Platinum	AdTech	grid	L	yes	no	yes	no	38	G_temporal_middle
sTm5	-41.2941627502441	-45.5025863647461	-21.0692157745361	4.2	Platinum	AdTech	grid	L	no	yes	yes	yes	21	G_oc-temp_lat-fusifor
sTm6	-57.9498405456543	-50.6001319885254	-14.6391067504883	4.2	Platinum	AdTech	grid	L	no	no	yes	no	37	G_temporal_inf
sTm7	-59.301342010498	-46.3556709289551	-11.6525440216064	4.2	Platinum	AdTech	grid	L	no	no	yes	no	38	G_temporal_middle
sTm8	-65.6467971801758	-48.1419563293457	1.06464326381683	4.2	Platinum	AdTech	grid	L	no	no	yes	no	38	G_temporal_middle
sTa1	-12.3039178848267	-40.3727035522461	-8.63462257385254	4.2	Platinum	AdTech	strip	L	no	no	no	no	22	G_oc-temp_med-Lingual
sTa2	-18.3849544525146	-46.0264511108398	-12.2815837860107	4.2	Platinum	AdTech	strip	L	no	no	no	no	22	G_oc-temp_med-Lingual
sTa3	-31.0259971618652	-48.2502365112305	-21.1361656188965	4.2	Platinum	AdTech	strip	L	no	no	no	no	21	G_oc-temp_lat-fusifor
